,date,new_confirmed,total_confirmed,country_name
19171,2021-04-30,,,United States Minor Outlying Islands
19172,2021-04-30,51939.0,31835314.0,United States of America
22457,2021-04-30,2747.0,190096.0,Uruguay
22477,2021-04-30,378.0,90008.0,Uzbekistan
22478,2021-04-30,0.0,26.0,Vatican City
22479,2021-04-30,6.0,1850.0,Saint Vincent and the Grenadines
22480,2021-04-30,1223.0,193721.0,Venezuela
22505,2021-04-30,0.0,194.0,British Virgin Islands
22506,2021-04-30,5.0,3098.0,United States Virgin Islands
22507,2021-04-30,8.0,2865.0,Vietnam
22508,2021-04-30,0.0,3.0,Vanuatu
22509,2021-04-30,0.0,452.0,Wallis and Futuna
22510,2021-04-30,0.0,1.0,Samoa
22511,2021-04-30,194.0,104347.0,Kosovo
22512,2021-04-30,43.0,6267.0,Yemen
22513,2021-04-30,159.0,20055.0,Mayotte
22514,2021-04-30,880.0,1577200.0,South Africa
22576,2021-04-30,40.0,91418.0,Zambia
22577,2021-04-30,62.0,38164.0,Zimbabwe
